# KIC 6102338 Q0 regularly spaced, with NaNs replaced
# BJD PDCSAP_flux
2.454970541090190876e+06 1.039613476562500000e+04
2.454970561524630990e+06 1.040293457031250000e+04
2.454970581958870869e+06 1.041219531250000000e+04
2.454970602393210866e+06 1.040586523437500000e+04
2.454970622827650513e+06 1.042907324218750000e+04
2.454970643261990044e+06 1.042238085937500000e+04
2.454970663696229458e+06 1.042310644531250000e+04
2.454970684130568523e+06 1.042903515625000000e+04
2.454970704565007705e+06 1.042950976562500000e+04
2.454970724999246188e+06 1.042115722656250000e+04
2.454970745433585253e+06 1.043765332031250000e+04
2.454970765868023504e+06 1.043853027343750000e+04
2.454970786302261986e+06 1.044320800781250000e+04
2.454970806736600120e+06 1.043487304687500000e+04
2.454970827170838136e+06 1.044739160156250000e+04
2.454970847605276387e+06 1.047340136718750000e+04
2.454970868039614055e+06 1.046609277343750000e+04
2.454970888473951258e+06 1.046717089843750000e+04
2.454970908908188809e+06 1.047063574218750000e+04
2.454970929342626128e+06 1.047946093750000000e+04
2.454970949776963331e+06 1.048868554687500000e+04
2.454970970211200416e+06 1.048627050781250000e+04
2.454970990645636804e+06 1.049824218750000000e+04
2.454971011079973541e+06 1.050792089843750000e+04
2.454971031514209695e+06 1.051066699218750000e+04
2.454971051948546432e+06 1.051431835937500000e+04
2.454971072382982355e+06 1.051756347656250000e+04
2.454971092817318160e+06 1.051508496093750000e+04
2.454971113251553848e+06 1.053169335937500000e+04
2.454971133685989305e+06 1.053523632812500000e+04
2.454971154120325111e+06 1.054429785156250000e+04
2.454971174554560333e+06 1.054896093750000000e+04
2.454971194988895208e+06 1.055457324218750000e+04
2.454971215423330199e+06 1.056750878906250000e+04
2.454971235857665073e+06 1.056735546875000000e+04
2.454971256291899830e+06 1.057683691406250000e+04
2.454971276726333890e+06 1.057678125000000000e+04
2.454971297160668299e+06 1.056753906250000000e+04
2.454971317594902590e+06 1.058591601562500000e+04
2.454971338029236533e+06 1.058756933593750000e+04
2.454971358463670127e+06 1.058186035156250000e+04
2.454971378898004070e+06 1.058509082031250000e+04
2.454971399332237430e+06 1.059041406250000000e+04
2.454971419766670559e+06 1.059247656250000000e+04
2.454971440201003570e+06 1.060148046875000000e+04
2.454971460635236464e+06 1.060768164062500000e+04
2.454971481069569476e+06 1.061775585937500000e+04
2.454971501504002139e+06 1.062305761718750000e+04
2.454971521938234568e+06 1.061436132812500000e+04
2.454971542372566648e+06 1.062201367187500000e+04
2.454971562806899194e+06 1.062600683593750000e+04
2.454971583241231274e+06 1.063129296875000000e+04
2.454971603675562888e+06 1.062730273437500000e+04
2.454971624109894503e+06 1.063781835937500000e+04
2.454971644544226117e+06 1.064955175781250000e+04
2.454971664978557266e+06 1.064769726562500000e+04
2.454971685412888415e+06 1.065344726562500000e+04
2.454971705847119447e+06 1.065095898437500000e+04
2.454971726281550247e+06 1.065325488281250000e+04
2.454971746715880930e+06 1.065887402343750000e+04
2.454971767150111496e+06 1.065654394531250000e+04
2.454971787584541831e+06 1.066007324218750000e+04
2.454971808018872049e+06 1.067694238281250000e+04
2.454971828453101683e+06 1.067409179687500000e+04
2.454971848887431435e+06 1.067538183593750000e+04
2.454971869321861304e+06 1.067922949218750000e+04
2.454971889756190591e+06 1.068526464843750000e+04
2.454971910190420225e+06 1.067270410156250000e+04
2.454971930624849163e+06 1.068341113281250000e+04
2.454971951059177984e+06 1.068729199218750000e+04
2.454971971493406687e+06 1.068712109375000000e+04
2.454971991927735507e+06 1.069689843750000000e+04
2.454972012362163980e+06 1.069709179687500000e+04
2.454972032796392683e+06 1.069653613281250000e+04
2.454972053230720572e+06 1.070942285156250000e+04
2.454972073665148579e+06 1.070160839843750000e+04
2.454972094099376351e+06 1.068728320312500000e+04
2.454972114533703774e+06 1.068669824218750000e+04
2.454972134968031198e+06 1.068792480468750000e+04
2.454972155402358621e+06 1.069060839843750000e+04
2.454972175836686045e+06 1.068184375000000000e+04
2.454972196271012537e+06 1.068680273437500000e+04
2.454972216705239844e+06 1.068997265625000000e+04
2.454972237139666453e+06 1.069799121093750000e+04
2.454972257573992945e+06 1.068567578125000000e+04
